Year,Age Group,Disease_L1,Disease_L2,Disease_L3,Disease_L4,Sex,Mortality Count
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",11.,,,Persons,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",12.,,,Persons,100
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,,,Persons,9900
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,Lower respiratory infections,,Persons,9700
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,COVID-19,,Persons,200
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,Upper respiratory infections,,Persons,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,Otitis media,,Persons,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,,,Persons,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,,,Persons,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,Preterm birth complications,,Persons,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,Birth asphyxia and birth trauma,,Persons,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,Neonatal sepsis and infections,,Persons,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,Other neonatal conditions,,Persons,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,,,Persons,200
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,Protein-energy malnutrition,,Persons,200
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,Iodine deficiency,,Persons,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,Vitamin A deficiency,,Persons,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,Iron-deficiency anaemia,,Persons,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,Other nutritional deficiencies,,Persons,0
2020,70+,Noncommunicable diseases,,,,Persons,58200
2020,70+,Noncommunicable diseases,Malignant neoplasms,,,Persons,8700
2020,70+,Noncommunicable diseases,Malignant neoplasms,Mouth and oropharynx cancers,,Persons,400
2020,70+,Noncommunicable diseases,Malignant neoplasms,Mouth and oropharynx cancers,Lip and oral cavity,Persons,200
2020,70+,Noncommunicable diseases,Malignant neoplasms,Mouth and oropharynx cancers,Nasopharynx,Persons,200
2020,70+,Noncommunicable diseases,Malignant neoplasms,Mouth and oropharynx cancers,Other pharynx,Persons,100
2020,70+,Noncommunicable diseases,Malignant neoplasms,Oesophagus cancer,,Persons,100
2020,70+,Noncommunicable diseases,Malignant neoplasms,Stomach cancer,,Persons,400
2020,70+,Noncommunicable diseases,Malignant neoplasms,Colon and rectum cancers,,Persons,1300
2020,70+,Noncommunicable diseases,Malignant neoplasms,Liver cancer,,Persons,600
2020,70+,Noncommunicable diseases,Malignant neoplasms,Liver cancer,Liver cancer secondary to hepatitis B,Persons,200
2020,70+,Noncommunicable diseases,Malignant neoplasms,Liver cancer,Liver cancer secondary to hepatitis C,Persons,100
2020,70+,Noncommunicable diseases,Malignant neoplasms,Liver cancer,Liver cancer secondary to alcohol use,Persons,200
2020,70+,Noncommunicable diseases,Malignant neoplasms,Liver cancer,Other liver cancer,Persons,100
2020,70+,Noncommunicable diseases,Malignant neoplasms,Pancreas cancer,,Persons,300
2020,70+,Noncommunicable diseases,Malignant neoplasms,"Trachea, bronchus, lung cancers",,Persons,1400
2020,70+,Noncommunicable diseases,Malignant neoplasms,Melanoma and other skin cancers,,Persons,100
2020,70+,Noncommunicable diseases,Malignant neoplasms,Melanoma and other skin cancers,Malignant skin melanoma,Persons,0
2020,70+,Noncommunicable diseases,Malignant neoplasms,Melanoma and other skin cancers,Non-melanoma skin cancer,Persons,100
2020,70+,Noncommunicable diseases,Malignant neoplasms,Breast cancer,,Persons,700
2020,70+,Noncommunicable diseases,10.,,,Persons,200
2020,70+,Noncommunicable diseases,11.,,,Persons,200
2020,70+,Noncommunicable diseases,12.,,,Persons,400
2020,70+,Noncommunicable diseases,13.,,,Persons,500
2020,70+,Noncommunicable diseases,14.,,,Persons,0
2020,70+,Noncommunicable diseases,15.,,,Persons,200
2020,70+,Noncommunicable diseases,16.,,,Persons,200
2020,70+,Noncommunicable diseases,17.,,,Persons,100
2020,70+,Noncommunicable diseases,18.,,,Persons,100
2020,70+,Noncommunicable diseases,19.,,,Persons,100
2020,70+,Noncommunicable diseases,20.,,,Persons,100
2020,70+,Noncommunicable diseases,21.,,,Persons,0
2020,70+,Noncommunicable diseases,22.,,,Persons,400
2020,70+,Noncommunicable diseases,22.,,Hodgkin lymphoma,Persons,0
2020,70+,Noncommunicable diseases,22.,,Non-Hodgkin lymphoma,Persons,300
2020,70+,Noncommunicable diseases,22.,,Multiple myeloma,Persons,100
2020,70+,Noncommunicable diseases,23.,,,Persons,200
2020,70+,Noncommunicable diseases,24.,,,Persons,700
2020,70+,Noncommunicable diseases,Other neoplasms,,,Persons,100
2020,70+,Noncommunicable diseases,Diabetes mellitus,,,Persons,1900
2020,70+,Noncommunicable diseases,"Endocrine, blood, immune disorders",,,Persons,300
2020,70+,Noncommunicable diseases,"Endocrine, blood, immune disorders",Thalassaemias,,Persons,0
2020,70+,Noncommunicable diseases,"Endocrine, blood, immune disorders",Sickle cell disorders and trait,,Persons,0
2020,70+,Noncommunicable diseases,"Endocrine, blood, immune disorders",Other haemoglobinopathies and haemolytic anaemias,,Persons,100
2020,70+,Noncommunicable diseases,"Endocrine, blood, immune disorders","Other endocrine, blood and immune disorders",,Persons,200
2020,70+,Noncommunicable diseases,Mental and substance use disorders,,,Persons,0
2020,70+,Noncommunicable diseases,Mental and substance use disorders,Depressive disorders,,Persons,0
2020,70+,Noncommunicable diseases,Mental and substance use disorders,Bipolar disorder,,Persons,0
2020,70+,Noncommunicable diseases,Mental and substance use disorders,Schizophrenia,,Persons,0
2020,70+,Noncommunicable diseases,Mental and substance use disorders,Alcohol use disorders,,Persons,0
2020,70+,Noncommunicable diseases,Mental and substance use disorders,Drug use disorders,,Persons,0
2020,70+,Noncommunicable diseases,Mental and substance use disorders,Drug use disorders,Opioid use disorders,Persons,0
2020,70+,Noncommunicable diseases,Mental and substance use disorders,Drug use disorders,Cocaine use disorders,Persons,0
2020,70+,Noncommunicable diseases,Mental and substance use disorders,Drug use disorders,Amphetamine use disorders,Persons,0
2020,70+,Noncommunicable diseases,Mental and substance use disorders,Drug use disorders,Cannabis use disorders,Persons,0
2020,70+,Noncommunicable diseases,Mental and substance use disorders,Drug use disorders,Other drug use disorders,Persons,0
2020,70+,Noncommunicable diseases,Mental and substance use disorders,Anxiety disorders,,Persons,0
2020,70+,Noncommunicable diseases,Mental and substance use disorders,Eating disorders,,Persons,0
2020,70+,Noncommunicable diseases,Mental and substance use disorders,Austism and Asperger syndrome,,Persons,0
2020,70+,Noncommunicable diseases,Mental and substance use disorders,Childhood behavioural disorders,,Persons,0
2020,70+,Noncommunicable diseases,Mental and substance use disorders,Childhood behavioural disorders,Attention deficit/hyperactivity syndrome,Persons,0
2020,70+,Noncommunicable diseases,Mental and substance use disorders,Childhood behavioural disorders,Conduct disorder,Persons,0
2020,70+,Noncommunicable diseases,10.,,,Persons,0
2020,70+,Noncommunicable diseases,11.,,,Persons,0
2020,70+,Noncommunicable diseases,Neurological conditions,,,Persons,4600
2020,70+,Noncommunicable diseases,Neurological conditions,Alzheimer disease and other dementias,,Persons,3800
2020,70+,Noncommunicable diseases,Neurological conditions,Parkinson disease,,Persons,700
2020,70+,Noncommunicable diseases,Neurological conditions,Epilepsy,,Persons,0
2020,70+,Noncommunicable diseases,Neurological conditions,Multiple sclerosis,,Persons,0
2020,70+,Noncommunicable diseases,Neurological conditions,Migraine,,Persons,0
2020,70+,Noncommunicable diseases,Neurological conditions,Non-migrane headache,,Persons,0
2020,70+,Noncommunicable diseases,Neurological conditions,Other neurological conditions,,Persons,100
2020,70+,Noncommunicable diseases,Sense organ diseases,,,Persons,0
2020,70+,Noncommunicable diseases,Sense organ diseases,Glaucoma,,Persons,0
2020,70+,Noncommunicable diseases,Sense organ diseases,Cataracts,,Persons,0
2020,70+,Noncommunicable diseases,Sense organ diseases,Uncorrected refractive errors,,Persons,0
2020,70+,Noncommunicable diseases,Sense organ diseases,Macular degeneration,,Persons,0
2020,70+,Noncommunicable diseases,Sense organ diseases,Other vision loss,,Persons,0
2020,70+,Noncommunicable diseases,Sense organ diseases,Other hearing loss,,Persons,0
2020,70+,Noncommunicable diseases,Sense organ diseases,Other sense organ disorders,,Persons,0
2020,70+,Noncommunicable diseases,Cardiovascular diseases,,,Persons,29400
2020,70+,Noncommunicable diseases,Cardiovascular diseases,Rheumatic heart disease,,Persons,0
2020,70+,Noncommunicable diseases,Cardiovascular diseases,Hypertensive heart disease,,Persons,700
2020,70+,Noncommunicable diseases,Cardiovascular diseases,Ischaemic heart disease,,Persons,15800
2020,70+,Noncommunicable diseases,Cardiovascular diseases,Stroke,,Persons,10900
2020,70+,Noncommunicable diseases,Cardiovascular diseases,Stroke,Ischaemic stroke,Persons,5900
2020,70+,Noncommunicable diseases,Cardiovascular diseases,Stroke,Haemorrhagic stroke,Persons,5000
2020,70+,Noncommunicable diseases,Cardiovascular diseases,"Cardiomyopathy, myocarditis, endocarditis",,Persons,500
2020,70+,Noncommunicable diseases,Cardiovascular diseases,Other circulatory diseases,,Persons,1500
2020,70+,Noncommunicable diseases,Respiratory diseases,,,Persons,4000
2020,70+,Noncommunicable diseases,Respiratory diseases,Chronic obstructive pulmonary disease,,Persons,3500
2020,70+,Noncommunicable diseases,Respiratory diseases,Asthma,,Persons,400
2020,70+,Noncommunicable diseases,Respiratory diseases,Other respiratory diseases,,Persons,100
2020,70+,Noncommunicable diseases,Digestive diseases,,,Persons,3800
2020,70+,Noncommunicable diseases,Digestive diseases,Peptic ulcer disease,,Persons,600
2020,70+,Noncommunicable diseases,Digestive diseases,Cirrhosis of the liver,,Persons,1200
2020,70+,Noncommunicable diseases,Digestive diseases,Cirrhosis of the liver,Cirrhosis due to hepatitis B,Persons,300
2020,70+,Noncommunicable diseases,Digestive diseases,Cirrhosis of the liver,Cirrhosis due to hepatitis C,Persons,200
2020,70+,Noncommunicable diseases,Digestive diseases,Cirrhosis of the liver,Cirrhosis due to alcohol use,Persons,400
2020,70+,Noncommunicable diseases,Digestive diseases,Cirrhosis of the liver,Other liver cirrhosis,Persons,300
2020,70+,Noncommunicable diseases,Digestive diseases,Appendicitis,,Persons,0
2020,70+,Noncommunicable diseases,Digestive diseases,Gastritis and duodenitis,,Persons,0
2020,70+,Noncommunicable diseases,Digestive diseases,Paralytic ileus and intestinal obstruction,,Persons,600
2020,70+,Noncommunicable diseases,Digestive diseases,Inflammatory bowel disease,,Persons,0
2020,70+,Noncommunicable diseases,Digestive diseases,Gallbladder and biliary diseases,,Persons,500
2020,70+,Noncommunicable diseases,Digestive diseases,Pancreatitis,,Persons,200
2020,70+,Noncommunicable diseases,Digestive diseases,Other digestive diseases,,Persons,700
2020,70+,Noncommunicable diseases,Genitourinary diseases,,,Persons,4100
2020,70+,Noncommunicable diseases,Genitourinary diseases,Kidney diseases,,Persons,2900
2020,70+,Noncommunicable diseases,Genitourinary diseases,Kidney diseases,Acute glomerulonephritis,Persons,0
2020,70+,Noncommunicable diseases,Genitourinary diseases,Kidney diseases,Chronic kidney disease due to diabetes,Persons,1400
2020,70+,Noncommunicable diseases,Genitourinary diseases,Kidney diseases,Other chronic kidney disease,Persons,1500
2020,70+,Noncommunicable diseases,Genitourinary diseases,Benign prostatic hyperplasia,,Persons,0
2020,70+,Noncommunicable diseases,Genitourinary diseases,Urolithiasis,,Persons,0
2020,70+,Noncommunicable diseases,Genitourinary diseases,Other urinary diseases,,Persons,1300
2020,70+,Noncommunicable diseases,Genitourinary diseases,Infertility,,Persons,0
2020,70+,Noncommunicable diseases,Genitourinary diseases,Gynecological diseases,,Persons,0
2020,70+,Noncommunicable diseases,Skin diseases,,,Persons,1100
2020,70+,Noncommunicable diseases,Musculoskeletal diseases,,,Persons,100
2020,70+,Noncommunicable diseases,Musculoskeletal diseases,Rheumatoid arthritis,,Persons,0
2020,70+,Noncommunicable diseases,Musculoskeletal diseases,Osteoarthritis,,Persons,0
2020,70+,Noncommunicable diseases,Musculoskeletal diseases,Gout,,Persons,0
2020,70+,Noncommunicable diseases,Musculoskeletal diseases,Back and neck pain,,Persons,0
2020,70+,Noncommunicable diseases,Musculoskeletal diseases,Other musculoskeletal disorders,,Persons,100
2020,70+,Noncommunicable diseases,Congenital anomalies,,,Persons,0
2020,70+,Noncommunicable diseases,Congenital anomalies,Neural tube defects,,Persons,0
2020,70+,Noncommunicable diseases,Congenital anomalies,Cleft lip and cleft palate,,Persons,0
2020,70+,Noncommunicable diseases,Congenital anomalies,Down syndrome,,Persons,0
2020,70+,Noncommunicable diseases,Congenital anomalies,Congenital heart anomalies,,Persons,0
2020,70+,Noncommunicable diseases,Congenital anomalies,Other chromosomal anomalies,,Persons,0
2020,70+,Noncommunicable diseases,Congenital anomalies,Other congenital anomalies,,Persons,0
2020,70+,Noncommunicable diseases,Oral conditions,,,Persons,0
2020,70+,Noncommunicable diseases,Oral conditions,Dental caries,,Persons,0
2020,70+,Noncommunicable diseases,Oral conditions,Periodontal disease,,Persons,0
2020,70+,Noncommunicable diseases,Oral conditions,Edentulism,,Persons,0
2020,70+,Noncommunicable diseases,Oral conditions,Other oral disorders,,Persons,0
2020,70+,Noncommunicable diseases,Sudden infant death syndrome,,,Persons,0
2020,70+,Injuries,,,,Persons,1900
2020,70+,Injuries,Unintentional injuries,,,Persons,1700
2020,70+,Injuries,Unintentional injuries,Road injury,,Persons,600
2020,70+,Injuries,Unintentional injuries,Poisonings,,Persons,0
2020,70+,Injuries,Unintentional injuries,Falls,,Persons,600
2020,70+,Injuries,Unintentional injuries,"Fire, heat and hot substances",,Persons,0
2020,70+,Injuries,Unintentional injuries,Drowning,,Persons,100
2020,70+,Injuries,Unintentional injuries,Exposure to mechanical forces,,Persons,0
2020,70+,Injuries,Unintentional injuries,Natural disasters,,Persons,0
2020,70+,Injuries,Unintentional injuries,Other unintentional injuries,,Persons,300
2020,70+,Injuries,Intentional injuries,,,Persons,200
2020,70+,Injuries,Intentional injuries,Self-harm,,Persons,200
2020,70+,Injuries,Intentional injuries,Interpersonal violence,,Persons,0
2020,70+,Injuries,Intentional injuries,Collective violence and legal intervention,,Persons,0
2020,70+,Injuries,Other COVID-19 pandemic-related outcomes,,,Persons,0
2020,70+,Injuries,Other COVID-19 pandemic-related outcomes,,,,0
2020,70+,Injuries,Other COVID-19 pandemic-related outcomes,,,,0
2020,70+,All Causes,,,,Males,30800
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",,,,Males,5000
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,,,Males,800
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Tuberculosis,,Males,500
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Syphilis,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Chlamydia,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Gonorrhoea,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Trichomoniasis,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Gential Herpes,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Other STDs,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,HIV/AIDS,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Diarrhoeal diseases,,Males,200
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,Whooping cough,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,Diphtheria,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,Measles,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,Tetanus,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Meningitis,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Encephalitis,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,Acute hepatitis A,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,Acute hepatitis B,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,Acute hepatitis C,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,Acute hepatitis E,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Malaria,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Trypanosomiasis,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Chagas disease,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Schistosomiasis,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Leishmaniasis,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,lymphatic filariasis,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Onchocerciasis,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Cysticercosis,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Echinococcosis,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Dengue,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Trachoma,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Yellow fever,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Rabies,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",10.,,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",10.,,Ascariasis,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",10.,,Trichuriasis,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",10.,,Hookworm disease,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",10.,,Food-borne trematodes,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",11.,,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",12.,,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,,,Males,4100
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,Lower respiratory infections,,Males,4000
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,COVID-19,,Males,100
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,Upper respiratory infections,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,Otitis media,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,Preterm birth complications,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,Birth asphyxia and birth trauma,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,Neonatal sepsis and infections,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,Other neonatal conditions,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,,,Males,100
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,Protein-energy malnutrition,,Males,100
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,Iodine deficiency,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,Vitamin A deficiency,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,Iron-deficiency anaemia,,Males,0
2020,70+,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,Other nutritional deficiencies,,Males,0
2020,70+,Noncommunicable diseases,,,,Males,24600
2020,70+,Noncommunicable diseases,Malignant neoplasms,,,Males,4600
2020,70+,Noncommunicable diseases,Malignant neoplasms,Mouth and oropharynx cancers,,Males,300
2020,70+,Noncommunicable diseases,Malignant neoplasms,Mouth and oropharynx cancers,Lip and oral cavity,Males,100
